USR_Age,Physical_Act,Sleep_Dur,Stress_LVL,BMI,Work_Load,Social_Freq,Travel_Idx,Total_Active_Min,Session_Freq,Post_Rate,Short_Vid_Cons,Story_Cons,Msg_Outgoing,Follower_Base,Following_Base,Account_Age_Yrs,USR_Gender_Male,USR_Gender_Non-binary,USR_Gender_Prefer not to say,Loc_Type_Suburban,Loc_Type_Urban,Inc_Bracket_Low,Inc_Bracket_Lower-middle,Inc_Bracket_Middle,Inc_Bracket_Upper-middle,Edu_Level_High school,Edu_Level_Master’s,Edu_Level_Other,Edu_Level_PhD,Edu_Level_Some college,Premium_Member,Wellbeing_Score
46.0,8.6,6.6,6,21.6,36.7,2,4,173.0,16,2,145,102,23,1029,1881,2016,True,False,False,True,False,False,True,False,False,False,True,False,False,False,Premium,1.0
64.0,8.2,7.6,25,24.2,35.4,5,2,213.0,11,3,174,109,35,286,609,2022,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Free,6.0
13.0,10.0,7.0,18,22.6,39.3,3,2,253.0,8,9,297,128,39,910,677,2016,True,False,False,False,False,False,False,True,False,True,False,False,False,False,Premium,3.0
16.0,5.8,5.9,26,27.5,33.1,1,2,337.0,21,7,300,150,51,946,1245,2021,True,False,False,False,True,False,False,False,True,False,False,False,False,False,Premium,2.0
27.0,11.6,6.1,21,28.2,39.1,5,4,247.0,13,7,268,109,41,2679,3860,2012,False,False,False,False,True,False,False,True,False,False,False,False,False,False,Free,4.0
33.0,12.8,7.9,0,24.7,55.1,4,2,5.0,1,3,28,38,8,1308,1078,2017,False,True,False,False,True,False,False,True,False,False,False,False,False,False,Free,10.0
65.0,4.6,5.3,32,19.1,34.3,1,2,158.0,12,3,147,102,33,570,399,2022,False,False,False,True,False,True,False,False,False,False,False,False,False,False,Free,10.0
40.0,5.2,7.3,9,26.7,50.2,6,6,133.0,8,4,125,80,37,460,580,2017,False,False,False,False,False,False,True,False,False,False,True,False,False,False,Free,1.0
16.0,12.6,7.7,7,28.7,51.9,2,4,169.0,5,12,230,88,34,527,560,2019,False,True,False,True,False,False,False,True,False,False,False,False,False,False,Premium,1.0
20.0,3.9,7.4,15,26.1,50.2,4,4,63.0,2,4,149,65,20,3282,5040,2023,False,False,False,False,True,True,False,False,False,False,False,False,False,True,Premium,
35.0,14.9,9.7,6,26.7,31.4,7,6,70.0,3,2,80,48,10,1004,905,2025,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Free,9.0
44.0,13.2,5.0,39,26.0,38.2,5,2,317.0,16,7,241,150,44,379,385,2022,True,False,False,False,True,False,True,False,False,False,False,False,False,False,Free,7.0
13.0,4.1,7.6,38,25.1,37.6,1,5,309.0,20,11,300,147,31,1036,944,2019,False,False,False,False,False,False,False,False,True,False,False,False,False,True,Free,7.0
51.0,2.3,6.5,35,22.3,51.9,2,6,372.0,39,5,276,150,34,3253,5258,2015,False,False,False,True,False,False,True,False,False,False,True,False,False,False,Free,2.0
16.0,3.3,5.2,17,20.8,50.2,4,3,250.0,7,15,300,109,34,2777,2212,2019,True,False,False,True,False,False,False,True,False,False,False,False,False,True,Premium,3.0
48.0,11.6,8.2,1,28.3,54.6,4,4,74.0,3,4,82,72,8,1606,2853,2017,True,False,False,True,False,False,False,True,False,False,False,False,False,False,Premium,5.0
26.0,11.6,7.1,17,17.0,47.3,6,4,210.0,23,10,215,120,31,3159,7803,2016,False,False,False,False,True,False,True,False,False,False,False,False,False,False,Free,6.0
34.0,5.7,6.8,22,24.2,24.5,5,2,227.0,8,9,172,106,33,924,1457,2025,True,False,False,False,True,True,False,False,False,False,False,False,False,False,Free,1.0
39.0,12.2,7.2,34,26.1,33.0,3,2,257.0,9,14,199,150,34,510,348,2018,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Business,5.0
60.0,11.6,7.4,20,19.7,42.3,4,2,94.0,4,4,91,65,20,1928,4440,2022,False,False,False,False,True,False,False,False,False,False,False,False,False,True,Free,10.0
48.0,3.9,6.1,18,27.9,46.8,4,1,87.0,3,2,85,48,21,818,1396,2021,True,False,False,True,False,False,False,False,True,True,False,False,False,False,Free,7.0
40.0,5.0,7.4,0,16.2,52.6,3,4,5.0,1,6,50,25,13,14363,10000,2020,True,False,False,True,False,False,False,True,False,False,False,False,False,True,Free,5.0
25.0,7.0,8.2,28,22.3,39.4,4,5,358.0,32,11,300,150,47,478,200,2024,True,False,False,False,True,True,False,False,False,True,False,False,False,False,Premium,7.0
,5.9,6.8,10,18.3,36.5,1,3,14.0,1,9,125,38,9,972,1155,2012,True,False,False,False,True,False,False,True,False,False,False,False,False,True,Free,
50.0,14.0,8.8,16,20.1,46.6,4,2,130.0,8,2,130,91,17,726,1029,2017,False,False,False,True,False,True,False,False,False,False,False,False,False,False,Business,
52.0,2.0,8.0,2,19.9,28.1,3,4,5.0,1,1,43,24,9,414,993,2012,True,False,False,True,False,False,True,False,False,True,False,False,False,False,Premium,10.0
23.0,10.7,6.0,7,24.2,40.6,4,1,5.0,1,5,128,28,11,766,1433,2017,False,False,False,False,True,False,False,False,True,False,False,False,False,False,Free,10.0
62.0,1.1,7.0,17,23.1,48.3,3,1,165.0,10,4,146,96,38,291,558,2015,True,False,False,False,False,True,False,False,False,False,False,False,False,False,Business,1.0
28.0,6.3,7.4,31,23.4,22.6,5,6,247.0,8,6,254,108,29,3120,3690,2024,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Free,8.0
46.0,7.1,7.3,5,25.7,39.1,6,2,42.0,3,3,60,42,19,369,876,2013,True,False,False,False,True,False,True,False,False,True,False,False,False,False,Business,3.0
25.0,4.6,6.7,39,32.4,54.4,1,4,386.0,23,6,300,150,53,4082,8092,2021,False,False,False,False,True,False,False,False,True,False,False,False,False,False,Free,
17.0,4.1,6.7,16,28.5,29.7,4,3,195.0,19,11,242,90,24,2730,4980,2022,True,False,False,True,False,True,False,False,False,False,False,False,False,True,Business,4.0
65.0,7.2,7.3,16,22.2,38.1,5,4,155.0,5,2,131,77,17,4703,8822,2021,False,False,False,False,True,False,False,False,False,False,True,False,False,False,Free,
29.0,1.5,6.7,12,22.8,38.1,3,2,172.0,7,5,227,113,25,330,745,2020,False,False,False,True,False,False,False,False,True,False,False,False,False,False,Free,4.0
18.0,14.0,5.3,0,29.0,37.7,4,0,129.0,11,12,190,95,25,1018,524,2015,True,False,False,False,True,False,False,True,False,False,False,False,False,True,Free,1.0
26.0,5.1,6.8,38,28.4,39.6,3,4,480.0,21,11,300,150,56,472,842,2025,False,False,False,True,False,False,False,False,True,True,False,False,False,False,Free,1.0
38.0,5.8,5.8,3,32.6,29.1,2,3,169.0,10,5,149,109,20,915,1073,2015,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Free,2.0
50.0,5.8,9.7,16,25.3,54.3,3,3,260.0,8,7,213,140,40,1451,2350,2013,True,False,False,False,True,True,False,False,False,False,False,False,False,False,Free,4.0
19.0,4.0,8.7,6,23.3,48.7,5,5,84.0,6,8,154,62,10,2027,3784,2019,True,False,False,False,True,False,False,True,False,False,False,False,False,False,Free,8.0
55.0,6.2,6.8,37,27.1,30.1,6,2,361.0,40,3,265,150,49,1452,2739,2022,False,False,False,True,False,False,False,False,True,False,False,False,False,False,Free,1.0
28.0,7.0,7.6,24,29.6,33.2,4,4,278.0,9,12,275,143,41,4666,10000,2010,True,False,False,False,True,False,False,True,False,False,True,False,False,False,Premium,4.0
32.0,0.8,6.3,28,15.0,27.6,2,2,320.0,19,4,233,150,38,642,428,2023,True,False,False,True,False,False,True,False,False,False,False,True,False,False,Free,
33.0,7.1,6.6,10,20.6,37.2,2,3,162.0,11,5,156,75,32,630,1303,2014,True,False,False,False,True,False,True,False,False,False,False,True,False,False,Free,2.0
15.0,14.5,6.0,19,28.8,33.3,7,4,119.0,5,5,211,89,14,1391,1567,2022,True,False,False,False,True,False,False,False,True,True,False,False,False,False,Free,8.0
56.0,16.1,6.6,3,24.0,39.9,0,2,33.0,2,1,71,51,17,1223,1830,2013,True,False,False,False,True,False,False,False,False,False,False,False,False,True,Premium,7.0
24.0,12.4,7.1,8,17.6,48.9,6,3,19.0,1,8,136,41,11,1592,3923,2021,False,False,False,False,True,True,False,False,False,False,False,True,False,False,Free,10.0
55.0,3.8,6.8,25,25.5,29.7,3,6,235.0,14,6,178,102,33,1159,2081,2010,True,False,False,False,True,False,True,False,False,True,False,False,False,False,Business,5.0
43.0,4.5,5.8,12,28.9,31.4,2,2,144.0,6,3,131,86,25,66,143,2018,True,False,False,False,True,True,False,False,False,True,False,False,False,False,Free,4.0
25.0,7.0,8.3,32,22.8,47.6,6,3,299.0,19,3,300,150,29,632,475,2012,True,False,False,False,True,False,False,True,False,True,False,False,False,False,Free,3.0
